,bbox,fps_x,frame_end,frame_start,instance_id,signer_id,source,split,url,variation_id,video_id,word,fps_y,width,height,duration
0,"[385, 37, 885, 720]",25,-1,1,0,118,aslbrick,train,http://aslbricks.org/New/ASL-Videos/book.mp4,0,69241,book,25.0,256,256,2.56
1,"[190, 25, 489, 370]",25,-1,1,1,90,aslsignbank,train,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/BO/BOOK-418.mp4,0,65225,book,25.0,256,256,2.56
2,"[262, 1, 652, 480]",25,-1,1,2,110,valencia-asl,train,https://www.youtube.com/watch?v=0UsjUE-TXns,0,68011,book,25.0,256,256,1.88
3,"[123, 19, 516, 358]",25,60,1,3,113,lillybauer,train,https://www.youtube.com/watch?v=1QOYOZ3g-aY,0,68208,book,25.0,256,256,4.96
4,"[95, 0, 1180, 720]",25,-1,1,4,109,valencia-asl,train,https://www.youtube.com/watch?v=aGtIHKEdCds,0,68012,book,25.0,256,256,3.84
5,"[110, 25, 274, 240]",25,2249,2150,5,121,northtexas,val,https://www.youtube.com/watch?v=hjS0dQDgbjo,0,70212,book,25.0,256,256,4.0
6,"[153, 38, 395, 360]",25,3852,3732,6,121,northtexas,train,https://www.youtube.com/watch?v=WGfiiDgrq1I,0,70266,book,25.0,256,256,4.84
7,"[16, 2, 235, 240]",25,-1,1,7,49,aslpro,train,http://www.aslpro.com/main/b/book_english_grammar.swf,0,7085,book,25.0,256,256,3.72
8,"[16, 4, 239, 240]",25,-1,1,8,49,aslpro,train,http://www.aslpro.com/main/b/book_geography.swf,0,7086,book,25.0,256,256,4.0
9,"[8, 1, 253, 240]",25,-1,1,9,18,aslpro,train,http://www.aslpro.com/main/b/book_geometry.swf,0,7087,book,25.0,256,256,3.2
10,"[462, 44, 949, 720]",25,-1,1,10,31,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20Book.mp4,0,7069,book,25.0,256,256,1.24
11,"[29, 4, 227, 240]",25,-1,1,11,18,aslpro,train,http://www.aslpro.com/main/b/book_history.swf,0,7088,book,25.0,256,256,3.48
12,"[22, 0, 226, 240]",25,-1,1,12,18,aslpro,train,http://www.aslpro.com/main/b/book_law.swf,0,7089,book,25.0,256,256,3.08
13,"[34, 2, 229, 240]",25,-1,1,13,18,aslpro,train,http://www.aslpro.com/main/b/book_literature.swf,0,7090,book,25.0,256,256,3.8
